info_id,emp_id,number_consumers,mode,dining_table_id,dining_table_name,expenditure,dishes_count,accounts_payable,use_start_time,check_closed,lock_time,cashier_id,pc_id,order_number,org_id,print_doc_bill_num,lock_table_info,order_status,phone,name
1326,3556,4,,1485,1006,423,13,423,2023-02-05 19:08:00,,2023-02-05 19:15:00,,,,330,,,1,18688882708,麻庶汐
1327,1874,7,,1516,1038,1101,29,1101,2023-01-04 11:51:00,,2023-01-04 12:09:00,,,,330,,,1,18688881026,濮明智
1328,3484,5,,1504,1010,437,20,437,2023-01-29 13:31:00,,2023-01-29 13:37:00,,,,330,,,1,18688882636,姜萌萌
1329,3639,2,,1482,1003,251,8,251,2023-01-19 12:02:00,,2023-01-19 12:14:00,,,,330,,,1,18688882791,封振翔
1330,3835,2,,1480,1002,363,6,363,2023-07-18 12:35:00,,2023-07-18 12:45:00,,,,330,,,1,18688882987,白子晨
1331,2088,4,,1502,1005,545,15,545,2023-01-15 12:26:00,,2023-01-15 12:36:00,,,,330,,,1,18688881240,班林华
1332,1881,9,,1519,1018,1141,41,1141,2023-02-04 20:55:00,,2023-02-04 21:07:00,,,,330,,,1,18688881033,应全忠
1333,1124,9,,1498,1040,1411,40,1411,2023-03-10 20:21:00,,2023-03-10 20:32:00,,,,330,,,1,18688880217,周钰彤
1334,3790,10,,1495,1018,1704,40,1704,2023-01-21 12:50:00,,2023-01-21 12:57:00,,,,330,,,1,18688882942,吴雨旋
1335,1672,6,,1488,1010,664,27,664,2023-05-09 21:13:00,,2023-05-09 21:30:00,,,,330,,,1,18688880171,胡宇凯
1336,3513,6,,1514,1008,516,28,516,2023-01-11 11:36:00,,2023-01-11 11:43:00,,,,330,,,1,18688882665,唐蕴
1337,1104,2,,1481,1003,308,7,308,2023-05-16 18:36:00,,2023-05-16 18:50:00,,,,330,,,1,18688880310,关大山
1338,3402,2,,1480,1003,326,8,326,2023-03-15 20:57:00,,2023-03-15 21:14:00,,,,330,,,1,18688882554,史丽娜
1339,3098,7,,1493,1038,1347,34,1347,2023-07-07 12:22:00,,2023-07-07 12:31:00,,,,330,,,1,18688882250,周雨嘉
1340,1846,5,,1489,1035,477,18,477,2023-04-11 18:19:00,,2023-04-11 18:31:00,,,,330,,,1,18688880998,郑柯辰
1341,2844,7,,1492,1013,1199,36,1199,2023-06-14 12:24:00,,2023-06-14 12:33:00,,,,330,,,1,18688881996,孙海超
1342,2425,6,,1487,1034,1033,31,1033,2023-04-20 20:27:00,,2023-04-20 20:45:00,,,,330,,,1,18688881577,史瑞瞳
1343,2965,2,,1480,1002,257,8,257,2023-03-15 19:06:00,,2023-03-15 19:15:00,,,,330,,,1,18688882117,申卓枫
1344,3684,5,,1486,1026,487,25,487,2023-03-07 18:12:00,,2023-03-07 18:18:00,,,,330,,,1,18688882836,柴干
1345,3770,7,,1494,1029,1486,28,1486,2023-03-14 19:20:00,,2023-03-14 19:31:00,,,,330,,,1,18688882922,石懿轩
1346,3768,10,,1496,1019,1486,44,1486,2023-04-25 17:38:00,,2023-04-25 17:55:00,,,,330,,,1,18688882920,易之赫
1347,1169,5,,1489,1008,922,24,922,2023-04-08 19:16:00,,2023-04-08 19:35:00,,,,330,,,1,18688880298,孙铎洫
1348,2193,10,,1519,1020,1189,46,1189,2023-03-11 21:09:00,,2023-03-11 21:27:00,,,,330,,,1,18688881345,明誉德
1349,1081,6,,1505,1036,816,28,816,2023-02-19 17:36:00,,2023-02-19 17:45:00,,,,330,,,1,18688880103,张宝
1350,1033,7,,1506,1012,1388,35,1388,2023-03-30 18:39:00,,2023-03-30 18:46:00,,,,330,,,1,18688880052,陶永潮
1351,2969,3,,1484,1022,424,12,424,2023-06-05 11:11:00,,2023-06-05 11:23:00,,,,330,,,1,18688882121,傅泓恺
1352,2493,2,,1480,1002,226,7,226,2023-05-24 18:20:00,,2023-05-24 18:37:00,,,,330,,,1,18688881645,胡林林
1353,2936,10,,1495,1018,1226,43,1226,2023-07-04 11:44:00,,2023-07-04 11:53:00,,,,330,,,1,18688882088,从轩朴
1354,1715,5,,1489,1009,459,17,459,2023-06-21 11:33:00,,2023-06-21 11:45:00,,,,330,,,1,18688880264,赵子煜
1355,1527,5,,1513,1008,607,19,607,2023-02-01 21:33:00,,2023-02-01 21:42:00,,,,330,,,1,18688880726,夏娴™
1356,3240,8,,1490,1028,1215,40,1215,2023-05-16 20:01:00,,2023-05-16 20:13:00,,,,330,,,1,18688882392,家琛岐
1357,1078,8,,1493,1029,927,40,927,2023-03-29 17:18:00,,2023-03-29 17:27:00,,,,330,,,1,18688880102,律波
1358,2724,4,,1501,1033,789,13,789,2023-04-03 21:54:00,,2023-04-03 22:00:00,,,,330,,,1,18688881876,樊雨墨
1359,1719,2,,1482,1003,329,7,329,2023-05-24 18:03:00,,2023-05-24 18:18:00,,,,330,,,1,18688880268,孟小杰
1360,3584,3,,1483,1005,354,14,354,2023-03-31 19:13:00,,2023-03-31 19:23:00,,,,330,,,1,18688882736,尚泽鸣
1361,2320,5,,1488,1035,517,23,517,2023-06-17 12:03:00,,2023-06-17 12:15:00,,,,330,,,1,18688881472,蒲清照
1362,1731,4,,1483,1021,792,15,792,2023-03-11 18:17:00,,2023-03-11 18:22:00,,,,330,,,1,18688880280,孟璐
