USER_ID,MYID,ACCOUNT,NAME,ORGANIZE_ID,ORGANIZE_NAME,DUTY_ID,TITLE_ID,PASSWORD,EMAIL,LANG,THEME,FIRST_VISIT,PREVIOUS_VISIT,LAST_VISITS,LOGIN_COUNT,ISEMPLOYEE,STATUS,IP,DESCRIPTION,QUESTION_ID,ANSWER,ISONLINE,CREATED,LASTMOD,CREATER,MODIFYER,TEL,STUNO,QQ,WEIXIN,SEX,POO,ADDRESS,AGE,TYPE
3300,,艾朵,a2328,330,统计17级,,,202cb962ac59075b964b07152d234b1752,,,,,,,,,,,,,,,2022-08-17 20:09:00,,1070.0,,18688882452,2019351,,,男,广东汕尾,广州,26,非流失
3497,,艾国真,a2525,330,统计17级,,,202cb962ac59075b964b07152d234b1949,,,,,,,,,,,,,,,2021-10-31 12:06:00,,1070.0,,18688882649,2019548,,,男,广东汕尾,广州,43,非流失
2863,,艾锦程,a1891,330,统计17级,,,202cb962ac59075b964b07152d234b1315,,,,,,,,,,,,,,,2021-06-03 12:19:00,,1070.0,,18688882015,2018914,,,男,广东汕尾,佛山,58,已流失
3006,,艾穹,a2034,330,统计17级,,,202cb962ac59075b964b07152d234b1458,,,,,,,,,,,,,,,2022-04-25 19:03:00,,1070.0,,18688882158,2019057,,,女,四川广安,广州,22,已流失
3160,,艾融乐,a2188,330,统计17级,,,202cb962ac59075b964b07152d234b1612,,,,,,,,,,,,,,,2022-11-08 12:34:00,,1070.0,,18688882312,2019211,,,女,广东中山,广州,20,非流失
1157,,艾少雄,a182,330,统计17级,,,202cb962ac59075b964b07152d234b70,,,,2021-09-27 20:46:00,,2023-08-20 18:29:00,,,,,,,,,2021-09-27 20:46:00,,1070.0,,18688880228,2017182,,,男,广西贺州,广州,35,非流失
1158,,艾小金,a183,330,统计17级,,,202cb962ac59075b964b07152d234b70,,,,2021-07-15 19:46:00,,2023-08-24 19:12:00,,,,,,,,,2021-07-15 19:46:00,,1070.0,,18688880328,2017183,,,女,广西北海,广州,44,准流失
3153,,艾迎春,a2181,330,统计17级,,,202cb962ac59075b964b07152d234b1605,,,,,,,,,,,,,,,2021-09-09 13:29:00,,1070.0,,18688882305,2019204,,,女,广西梧州,广州,49,已流失
2610,,安公啸,a1638,330,统计17级,,,202cb962ac59075b964b07152d234b1062,,,,,,,,,,,,,,,2022-08-14 18:16:00,,1070.0,,18688881762,2018661,,,女,广东清远,广州,28,准流失
2774,,安柜吃,a1802,330,统计17级,,,202cb962ac59075b964b07152d234b1226,,,,,,,,,,,,,,,2022-02-19 13:03:00,,1070.0,,18688881926,2018825,,,男,广东珠海,广州,49,已流失
2007,,安笑萌,a1035,330,统计17级,,,202cb962ac59075b964b07152d234b459,,,,,,,,,,,,,,,2021-05-14 18:53:00,,1070.0,,18688881159,2018058,,,女,广西来宾,广州,27,准流失
3291,,安一生,a2319,330,统计17级,,,202cb962ac59075b964b07152d234b1743,,,,,,,,,,,,,,,2022-12-19 18:19:00,,1070.0,,18688882443,2019342,,,男,广东深圳,广州,36,准流失
3087,,安子奕,a2115,330,统计17级,,,202cb962ac59075b964b07152d234b1539,,,,,,,,,,,,,,,2021-09-29 19:39:00,,1070.0,,18688882239,2019138,,,男,广东佛山,广州,32,非流失
3062,,敖炜钧,a2090,330,统计17级,,,202cb962ac59075b964b07152d234b1514,,,,,,,,,,,,,,,2022-07-05 21:35:00,,1070.0,,18688882214,2019113,,,女,广西北海,广州,33,准流失
2451,,白常瑾,a1479,330,统计17级,,,202cb962ac59075b964b07152d234b903,,,,,,,,,,,,,,,2021-01-11 17:49:00,,1070.0,,18688881603,2018502,,,女,广西北海,广州,30,非流失
1690,,白辰羲,a239,330,统计17级,,,202cb962ac59075b964b07152d234b70,,,,2021-04-07 21:36:00,,2023-08-20 21:53:00,,,,,,,,,2021-04-07 21:36:00,,1070.0,,18688880189,2017239,,,男,广东中山,广州,44,准流失
2603,,白德书,a1631,330,统计17级,,,202cb962ac59075b964b07152d234b1055,,,,,,,,,,,,,,,2022-11-28 12:17:00,,1070.0,,18688881755,2018654,,,男,广东河源,广州,33,非流失
3744,,白家熙,a2772,330,统计17级,,,202cb962ac59075b964b07152d234b2196,,,,,,,,,,,,,,,2022-11-03 12:14:00,,1070.0,,18688882896,2019795,,,男,广东茂名,广州,47,准流失
3474,,白剑涛,a2502,330,统计17级,,,202cb962ac59075b964b07152d234b1926,,,,,,,,,,,,,,,2021-08-03 18:23:00,,1070.0,,18688882626,2019525,,,男,广东阳江,广州,25,准流失
3206,,白俊涛,a2234,330,统计17级,,,202cb962ac59075b964b07152d234b1658,,,,,,,,,,,,,,,2021-11-29 17:08:00,,1070.0,,18688882358,2019257,,,女,广西贺州,广州,32,准流失
3626,,白怡泽,a2654,330,统计17级,,,202cb962ac59075b964b07152d234b2078,,,,,,,,,,,,,,,2022-04-12 17:14:00,,1070.0,,18688882778,2019677,,,女,内蒙古呼和浩特,广州,35,已流失
3772,,白燚募,a2800,330,统计17级,,,202cb962ac59075b964b07152d234b2224,,,,,,,,,,,,,,,2021-04-13 17:23:00,,1070.0,,18688882924,2019823,,,男,广东河源,广州,20,非流失
3381,,白永兵,a2409,330,统计17级,,,202cb962ac59075b964b07152d234b1833,,,,,,,,,,,,,,,2021-07-14 20:45:00,,1070.0,,18688882533,2019432,,,女,广东广州,广州,40,准流失
3351,,白煜瑄,a2379,330,统计17级,,,202cb962ac59075b964b07152d234b1803,,,,,,,,,,,,,,,2022-03-17 12:18:00,,1070.0,,18688882503,2019402,,,女,广西贵港,广州,30,准流失
1680,,白云娥,a229,330,统计17级,,,202cb962ac59075b964b07152d234b70,,,,2022-08-09 18:25:00,,2023-08-10 12:10:00,,,,,,,,,2022-08-09 18:25:00,,1070.0,,18688880179,2017229,,,女,新疆,广州,35,已流失
3835,,白子晨,a2863,330,统计17级,,,202cb962ac59075b964b07152d234b2287,,,,,,,,,,,,,,,2022-11-23 20:03:00,,1070.0,,18688882987,2019886,,,女,山东青岛,广州,38,非流失
2088,,班林华,a1116,330,统计17级,,,202cb962ac59075b964b07152d234b540,,,,,,,,,,,,,,,2022-05-06 12:33:00,,1070.0,,18688881240,2018139,,,男,广东潮州,佛山,52,非流失
2950,,班墨,a1978,330,统计17级,,,202cb962ac59075b964b07152d234b1402,,,,,,,,,,,,,,,2022-06-28 13:47:00,,1070.0,,18688882102,2019001,,,男,广东江门,广州,47,已流失
2417,,班荣,a1445,330,统计17级,,,202cb962ac59075b964b07152d234b869,,,,,,,,,,,,,,,2021-07-17 12:48:00,,1070.0,,18688881569,2018468,,,男,广东江门,广州,48,准流失
2594,,班彦汐,a1622,330,统计17级,,,202cb962ac59075b964b07152d234b1046,,,,,,,,,,,,,,,2021-10-24 18:10:00,,1070.0,,18688881746,2018645,,,女,广西崇左,广州,36,准流失
3600,,班映波,a2628,330,统计17级,,,202cb962ac59075b964b07152d234b2052,,,,,,,,,,,,,,,2021-01-13 18:38:00,,1070.0,,18688882752,2019651,,,男,广东珠海,广州,26,已流失
2990,,班云博,a2018,330,统计17级,,,202cb962ac59075b964b07152d234b1442,,,,,,,,,,,,,,,2022-05-28 11:42:00,,1070.0,,18688882142,2019041,,,女,广东潮州,广州,32,非流失
3449,,班责玮,a2477,330,统计17级,,,202cb962ac59075b964b07152d234b1901,,,,,,,,,,,,,,,2021-04-12 19:55:00,,1070.0,,18688882601,2019500,,,男,广东韶关,广州,27,已流失
1433,,包承昊,a562,330,统计17级,,,202cb962ac59075b964b07152d234b303,,,,,,,,,,,,,,,2021-09-19 13:31:00,,,,18688880632,2017562,,,男,天津,广州,47,非流失
1431,,包达菲,a560,330,统计17级,,,202cb962ac59075b964b07152d234b301,,,,,,,,,,,,,,,2021-10-13 13:35:00,,,,18688880630,2017560,,,女,江苏南通,广州,37,准流失
2438,,包涵予,a1466,330,统计17级,,,202cb962ac59075b964b07152d234b890,,,,,,,,,,,,,,,2022-12-13 11:54:00,,1070.0,,18688881590,2018489,,,男,广东阳江,广州,42,准流失
1435,,包家铭,a564,330,统计17级,,,202cb962ac59075b964b07152d234b305,,,,,,,,,,,,,,,2021-12-05 12:30:00,,,,18688880634,2017564,,,男,广东广州,广州,41,非流失
